clusterer	embedder	extra	metric	value
agglomerative	BAAI/bge-small-en-v1.5	k=2	n_clusters	2.0
agglomerative	BAAI/bge-small-en-v1.5	k=2	n_noise	0.0
agglomerative	BAAI/bge-small-en-v1.5	k=2	silhouette	0.16817998886108398
agglomerative	BAAI/bge-small-en-v1.5	k=2	davies_bouldin	0.7506138477286151
agglomerative	BAAI/bge-small-en-v1.5	k=2	calinski_harabasz	1.446253339075429
agglomerative	BAAI/bge-small-en-v1.5	k=2	npmi	0.8754630439484643
agglomerative	BAAI/bge-small-en-v1.5	k=2	bootstrap_mean_ari	0.2348858387760257
agglomerative	BAAI/bge-small-en-v1.5	k=2	bootstrap_std_ari	0.2735730453171347
agglomerative	BAAI/bge-small-en-v1.5	k=2	bootstrap_n_runs	10.0
hdbscan	BAAI/bge-small-en-v1.5	min_cluster_size=2	n_clusters	0.0
hdbscan	BAAI/bge-small-en-v1.5	min_cluster_size=2	n_noise	11.0
hdbscan	BAAI/bge-small-en-v1.5	min_cluster_size=2	silhouette	
hdbscan	BAAI/bge-small-en-v1.5	min_cluster_size=2	davies_bouldin	
hdbscan	BAAI/bge-small-en-v1.5	min_cluster_size=2	calinski_harabasz	
hdbscan	BAAI/bge-small-en-v1.5	min_cluster_size=2	npmi	
hdbscan	BAAI/bge-small-en-v1.5	min_cluster_size=2	bootstrap_mean_ari	0.8
hdbscan	BAAI/bge-small-en-v1.5	min_cluster_size=2	bootstrap_std_ari	0.4
hdbscan	BAAI/bge-small-en-v1.5	min_cluster_size=2	bootstrap_n_runs	10.0
bertopic	BAAI/bge-small-en-v1.5		n_clusters	2.0
bertopic	BAAI/bge-small-en-v1.5		n_noise	1.0
bertopic	BAAI/bge-small-en-v1.5		silhouette	0.1735398918390274
bertopic	BAAI/bge-small-en-v1.5		davies_bouldin	1.7674874698331364
bertopic	BAAI/bge-small-en-v1.5		calinski_harabasz	1.9633672401746185
bertopic	BAAI/bge-small-en-v1.5		npmi	0.8670061957191425
bertopic	BAAI/bge-small-en-v1.5		bootstrap_mean_ari	0.1188069260221752
bertopic	BAAI/bge-small-en-v1.5		bootstrap_std_ari	0.15218077956331352
bertopic	BAAI/bge-small-en-v1.5		bootstrap_n_runs	10.0
