clusterer	embedder	extra	metric	value
hdbscan	BAAI/bge-small-en-v1.5	min_cluster_size=5	n_clusters	0.0
hdbscan	BAAI/bge-small-en-v1.5	min_cluster_size=5	n_noise	161.0
hdbscan	BAAI/bge-small-en-v1.5	min_cluster_size=5	silhouette	
hdbscan	BAAI/bge-small-en-v1.5	min_cluster_size=5	davies_bouldin	
hdbscan	BAAI/bge-small-en-v1.5	min_cluster_size=5	calinski_harabasz	
hdbscan	BAAI/bge-small-en-v1.5	min_cluster_size=5	npmi	
hdbscan	BAAI/bge-small-en-v1.5	min_cluster_size=5	bootstrap_mean_ari	0.5
hdbscan	BAAI/bge-small-en-v1.5	min_cluster_size=5	bootstrap_std_ari	0.5
hdbscan	BAAI/bge-small-en-v1.5	min_cluster_size=5	bootstrap_n_runs	10.0
hdbscan_umap	BAAI/bge-small-en-v1.5	umap_dim=10 min_cluster_size=5	n_clusters	6.0
hdbscan_umap	BAAI/bge-small-en-v1.5	umap_dim=10 min_cluster_size=5	n_noise	79.0
hdbscan_umap	BAAI/bge-small-en-v1.5	umap_dim=10 min_cluster_size=5	silhouette	0.10530121624469757
hdbscan_umap	BAAI/bge-small-en-v1.5	umap_dim=10 min_cluster_size=5	davies_bouldin	2.7674137332182824
hdbscan_umap	BAAI/bge-small-en-v1.5	umap_dim=10 min_cluster_size=5	calinski_harabasz	4.5377742301324835
hdbscan_umap	BAAI/bge-small-en-v1.5	umap_dim=10 min_cluster_size=5	npmi	0.5243787460570293
hdbscan_umap	BAAI/bge-small-en-v1.5	umap_dim=10 min_cluster_size=5	bootstrap_mean_ari	0.055811804740546464
hdbscan_umap	BAAI/bge-small-en-v1.5	umap_dim=10 min_cluster_size=5	bootstrap_std_ari	0.10416075205440832
hdbscan_umap	BAAI/bge-small-en-v1.5	umap_dim=10 min_cluster_size=5	bootstrap_n_runs	10.0
bertopic	BAAI/bge-small-en-v1.5		n_clusters	0.0
bertopic	BAAI/bge-small-en-v1.5		n_noise	161.0
bertopic	BAAI/bge-small-en-v1.5		silhouette	
bertopic	BAAI/bge-small-en-v1.5		davies_bouldin	
bertopic	BAAI/bge-small-en-v1.5		calinski_harabasz	
bertopic	BAAI/bge-small-en-v1.5		npmi	
bertopic	BAAI/bge-small-en-v1.5		bootstrap_mean_ari	0.1
bertopic	BAAI/bge-small-en-v1.5		bootstrap_std_ari	0.30000000000000004
bertopic	BAAI/bge-small-en-v1.5		bootstrap_n_runs	10.0
